product_id,seller_id,category_id,product_name,brand,listed_date,original_price,current_price,cost_price,stock_qty,product_status
P0000074,S00513,CAT016,Ace Home Decor Item 74,Ace,2023-04-18,38000,30000,17000,2480,active
P0000075,S01760,CAT008,This Is April Bags Item 75,This Is April,2022-02-09,1645000,1418000,906000,1487,delisted
P0000076,S01006,CAT018,Cussons Baby Clothes Item 76,Cussons,2022-06-13,126000,116000,92000,255,active
P0000077,S01298,CAT010,Azarine Skincare Item 77,Azarine,2023-10-06,155000,135000,110000,387,active
P0000078,S01594,CAT010,Wardah Skincare Item 78,Wardah,2023-11-11,107000,91000,49000,767,active
P0000079,S00972,CAT025,Adidas Fitness Item 79,Adidas,2024-10-25,1822000,1670000,1050000,2187,active
P0000080,S03747,CAT003,Samsung Home Appliances Item 80,Samsung,2025-06-17,3668000,3065000,2300000,1271,active
P0000081,S00733,CAT019,Cussons Diapers Item 81,Cussons,2026-04-18,87000,79000,63000,709,active
P0000082,S00180,CAT002,Lenovo Gadget Accessories Item 82,Lenovo,2026-01-29,263000,249000,164000,1811,active
P0000083,S03987,CAT020,Merries Baby Food Item 83,Merries,2023-09-27,69000,55000,40000,913,active
P0000084,S02500,CAT007,No Brand Shoes Item 84,No Brand,2024-10-01,1764000,1296000,718000,972,active
P0000085,S02106,CAT012,Skintific Fragrance Item 85,Skintific,2024-06-09,237000,171000,101000,2416,active
P0000086,S00422,CAT012,Wardah Fragrance Item 86,Wardah,2025-04-14,597000,460000,243000,735,active
P0000087,S01526,CAT024,Sosro Fresh Food Item 87,Sosro,2023-12-14,54000,51000,32000,789,active
P0000088,S00370,CAT013,Emina Hair Care Item 88,Emina,2023-08-06,197000,146000,98000,482,active
P0000089,S02032,CAT027,Honda Motorcycle Accessories Item 89,Honda,2022-05-19,148000,121000,82000,63,active
P0000090,S01424,CAT011,Maybelline Makeup Item 90,Maybelline,2022-06-05,32000,24000,17000,1954,active
P0000091,S02207,CAT022,Wings Beverages Item 91,Wings,2023-03-12,134000,99000,79000,358,active
P0000092,S03758,CAT011,Scarlett Makeup Item 92,Scarlett,2022-07-15,101000,88000,58000,1724,active
P0000093,S00658,CAT032,Lego Gaming Accessories Item 93,Lego,2022-04-12,178000,133000,83000,213,active
P0000094,S02168,CAT030,Pilot Office Supplies Item 94,Pilot,2023-06-06,498000,429000,333000,1340,active
P0000095,S03252,CAT011,Avoskin Makeup Item 95,Avoskin,2026-02-02,220000,192000,152000,1999,active
P0000096,S03508,CAT001,Acer Smartphones Item 96,Acer,2025-03-14,2866000,2548000,1543000,2160,active
P0000097,S03769,CAT012,Maybelline Fragrance Item 97,Maybelline,2023-04-24,380000,310000,174000,516,active
P0000098,S03925,CAT030,Bantex Office Supplies Item 98,Bantex,2024-10-01,18000,14000,11000,2094,active
P0000099,S03141,CAT012,Azarine Fragrance Item 99,Azarine,2024-03-21,146000,106000,83000,867,active
P0000100,S00532,CAT006,Executive Men Fashion Item 100,Executive,2024-04-24,479000,349000,275000,1335,active
P0000101,S03224,CAT009,Executive Muslim Fashion Item 101,Executive,2024-09-01,167000,149000,77000,2219,active
P0000102,S02614,CAT018,No Brand Baby Clothes Item 102,No Brand,2023-07-12,71000,61000,38000,2177,active
P0000103,S01994,CAT015,No Brand Furniture Item 103,No Brand,2024-04-07,2813000,2215000,1803000,1902,active
P0000104,S02782,CAT032,Lego Gaming Accessories Item 104,Lego,2025-09-07,429000,308000,252000,1541,active
P0000105,S02116,CAT009,Executive Muslim Fashion Item 105,Executive,2022-12-30,265000,216000,125000,2262,active
P0000106,S02077,CAT013,Wardah Hair Care Item 106,Wardah,2024-01-29,71000,60000,44000,1360,active
P0000107,S01332,CAT011,Scarlett Makeup Item 107,Scarlett,2023-05-29,612000,551000,384000,1482,active
P0000108,S03040,CAT003,Logitech Home Appliances Item 108,Logitech,2025-08-07,308000,224000,161000,1452,active
P0000109,S00928,CAT027,Aspira Motorcycle Accessories Item 109,Aspira,2023-03-09,165000,127000,83000,983,active
P0000110,S02415,CAT028,3M Car Accessories Item 110,3M,2023-02-06,158000,122000,75000,2266,active
P0000111,S02801,CAT028,No Brand Car Accessories Item 111,No Brand,2024-03-04,3693000,2752000,2237000,2129,active
P0000112,S01365,CAT014,Oxone Kitchenware Item 112,Oxone,2025-12-22,147000,134000,73000,2443,active
P0000113,S03464,CAT030,Gramedia Office Supplies Item 113,Gramedia,2022-08-30,158000,131000,98000,574,active
P0000114,S01700,CAT028,Yamaha Car Accessories Item 114,Yamaha,2024-01-12,44000,40000,23000,1909,active
P0000115,S02375,CAT006,Berrybenka Men Fashion Item 115,Berrybenka,2023-12-22,208000,151000,117000,1830,active
P0000116,S02256,CAT010,Wardah Skincare Item 116,Wardah,2024-04-26,34000,32000,19000,657,active
P0000117,S01618,CAT013,Maybelline Hair Care Item 117,Maybelline,2023-10-19,194000,143000,111000,2360,active
P0000118,S01789,CAT011,Emina Makeup Item 118,Emina,2022-03-13,95000,74000,55000,534,active
P0000119,S01726,CAT029,Gramedia Books Item 119,Gramedia,2022-09-17,31000,26000,19000,2123,inactive
P0000120,S03817,CAT003,Oppo Home Appliances Item 120,Oppo,2024-10-30,1848000,1507000,917000,2125,active
P0000121,S02777,CAT015,Krisbow Furniture Item 121,Krisbow,2022-08-04,285000,236000,150000,1713,active
P0000122,S00270,CAT011,Avoskin Makeup Item 122,Avoskin,2022-01-03,149000,111000,88000,2187,active
P0000123,S02633,CAT002,Oppo Gadget Accessories Item 123,Oppo,2024-07-30,170000,145000,84000,601,active
P0000124,S00380,CAT022,Sari Roti Beverages Item 124,Sari Roti,2025-01-17,24000,23000,14000,2275,active
P0000125,S01934,CAT014,Dekoruma Kitchenware Item 125,Dekoruma,2023-11-28,922000,909000,481000,1588,active
P0000126,S02073,CAT007,CottonInk Shoes Item 126,CottonInk,2025-10-11,544000,449000,255000,968,active
P0000127,S00579,CAT022,Indomie Beverages Item 127,Indomie,2023-09-20,16000,13000,10000,1051,active
P0000128,S00327,CAT029,Faber Castell Books Item 128,Faber Castell,2023-04-18,224000,210000,135000,525,inactive
P0000129,S03672,CAT007,Berrybenka Shoes Item 129,Berrybenka,2022-10-12,532000,434000,314000,1677,inactive
P0000130,S01497,CAT020,Pigeon Baby Food Item 130,Pigeon,2026-03-05,40000,38000,26000,1945,active
P0000131,S00455,CAT008,No Brand Bags Item 131,No Brand,2023-06-21,969000,860000,714000,1307,active
P0000132,S03915,CAT011,Skintific Makeup Item 132,Skintific,2023-04-10,44000,33000,20000,997,active
P0000133,S01964,CAT010,Wardah Skincare Item 133,Wardah,2022-07-17,371000,316000,248000,1799,active
P0000134,S02893,CAT015,Oxone Furniture Item 134,Oxone,2025-08-30,2644000,2541000,1419000,2492,active
P0000135,S00360,CAT008,CottonInk Bags Item 135,CottonInk,2025-04-28,70000,65000,48000,57,active
P0000136,S02856,CAT008,Berrybenka Bags Item 136,Berrybenka,2022-08-12,200000,191000,108000,1742,active
P0000137,S00228,CAT012,Maybelline Fragrance Item 137,Maybelline,2022-10-25,426000,319000,257000,151,active
P0000138,S00663,CAT007,Nevada Shoes Item 138,Nevada,2025-09-29,192000,191000,109000,2321,active
P0000139,S00869,CAT024,Ultra Fresh Food Item 139,Ultra,2022-03-14,204000,159000,132000,2331,active
P0000140,S02975,CAT028,Yamaha Car Accessories Item 140,Yamaha,2023-03-28,3281000,2406000,1830000,800,active
P0000141,S02030,CAT024,Sosro Fresh Food Item 141,Sosro,2024-06-23,45000,37000,28000,1953,active
P0000142,S01651,CAT006,Erigo Men Fashion Item 142,Erigo,2023-08-17,697000,624000,349000,2367,active
P0000143,S01911,CAT019,Pigeon Diapers Item 143,Pigeon,2026-02-01,265000,225000,124000,298,active
P0000144,S03766,CAT010,Emina Skincare Item 144,Emina,2024-11-27,641000,536000,307000,841,active
P0000145,S01258,CAT001,Anker Smartphones Item 145,Anker,2022-11-06,4188000,3318000,2256000,1214,active
P0000146,S02271,CAT009,Nevada Muslim Fashion Item 146,Nevada,2024-07-14,266000,232000,182000,1799,active
P0000147,S00189,CAT004,Samsung Computers & Laptops Item 147,Samsung,2024-01-03,6049000,5177000,3825000,267,active
P0000148,S00954,CAT020,Merries Baby Food Item 148,Merries,2024-05-18,58000,47000,25000,1134,active
P0000149,S01803,CAT026,Specs Outdoor Item 149,Specs,2023-10-15,3480000,2683000,1408000,1322,active
P0000150,S03856,CAT008,Erigo Bags Item 150,Erigo,2025-08-28,139000,120000,73000,1319,active
P0000151,S01769,CAT011,Wardah Makeup Item 151,Wardah,2022-05-22,326000,236000,147000,216,active
P0000152,S01277,CAT014,Tupperware Kitchenware Item 152,Tupperware,2025-04-08,230000,213000,150000,1548,active
P0000153,S01639,CAT011,Emina Makeup Item 153,Emina,2023-08-04,32000,30000,16000,381,inactive
P0000154,S02695,CAT024,Indomie Fresh Food Item 154,Indomie,2022-11-01,59000,55000,41000,706,active
P0000155,S01825,CAT008,No Brand Bags Item 155,No Brand,2025-05-21,69000,64000,47000,1260,active
P0000156,S00625,CAT013,Somethinc Hair Care Item 156,Somethinc,2022-09-09,437000,359000,199000,2279,active
P0000157,S02978,CAT019,No Brand Diapers Item 157,No Brand,2023-09-04,259000,186000,143000,2392,active
P0000158,S00768,CAT008,CottonInk Bags Item 158,CottonInk,2022-07-20,137000,129000,106000,349,active
P0000159,S03372,CAT003,Oppo Home Appliances Item 159,Oppo,2022-08-26,5134000,4154000,2916000,576,active
P0000160,S03680,CAT022,Unilever Beverages Item 160,Unilever,2024-08-11,16000,12000,7000,1141,active
P0000161,S00645,CAT023,Ultra Household Supplies Item 161,Ultra,2025-08-02,141000,108000,64000,739,inactive
P0000162,S00716,CAT023,ABC Household Supplies Item 162,ABC,2024-01-07,161000,116000,93000,2165,active
P0000163,S01956,CAT023,Wings Household Supplies Item 163,Wings,2022-09-02,107000,102000,59000,1956,active
P0000164,S00360,CAT014,Krisbow Kitchenware Item 164,Krisbow,2022-04-16,1303000,1111000,586000,153,active
P0000165,S03130,CAT001,Acer Smartphones Item 165,Acer,2025-04-02,9273000,6742000,5373000,1744,active
P0000166,S03758,CAT010,Skintific Skincare Item 166,Skintific,2026-03-21,218000,193000,120000,79,active
P0000167,S00294,CAT001,Baseus Smartphones Item 167,Baseus,2023-01-10,10111000,7699000,4863000,629,inactive
P0000168,S01217,CAT020,Merries Baby Food Item 168,Merries,2025-09-15,104000,76000,41000,599,active
P0000169,S01235,CAT013,Emina Hair Care Item 169,Emina,2024-04-02,219000,189000,112000,1611,active
P0000170,S03741,CAT022,Indomie Beverages Item 170,Indomie,2022-12-04,168000,130000,90000,1490,active
P0000171,S00796,CAT012,Emina Fragrance Item 171,Emina,2023-04-13,128000,123000,74000,424,active
P0000172,S02809,CAT005,Executive Women Fashion Item 172,Executive,2022-11-20,71000,70000,47000,623,active
P0000173,S02491,CAT011,Azarine Makeup Item 173,Azarine,2022-09-14,55000,54000,38000,1890,active
P0000174,S03673,CAT008,Nevada Bags Item 174,Nevada,2023-05-24,461000,333000,188000,830,active
P0000175,S00933,CAT006,Executive Men Fashion Item 175,Executive,2025-04-29,131000,121000,64000,1819,active
P0000176,S00886,CAT009,This Is April Muslim Fashion Item 176,This Is April,2023-10-05,1216000,883000,581000,465,active
P0000177,S02803,CAT008,No Brand Bags Item 177,No Brand,2022-11-23,752000,554000,300000,1726,active
P0000178,S02883,CAT022,Sari Roti Beverages Item 178,Sari Roti,2024-10-06,107000,86000,64000,789,active
P0000179,S03396,CAT023,Sosro Household Supplies Item 179,Sosro,2025-11-07,125000,109000,91000,1799,active
P0000180,S02446,CAT012,Skintific Fragrance Item 180,Skintific,2025-06-19,79000,73000,50000,1129,active
P0000181,S02658,CAT019,Cussons Diapers Item 181,Cussons,2022-09-26,391000,305000,212000,386,active
P0000182,S00630,CAT010,Maybelline Skincare Item 182,Maybelline,2024-08-12,194000,183000,119000,1676,active
P0000183,S03174,CAT004,Lenovo Computers & Laptops Item 183,Lenovo,2025-05-31,6531000,6305000,3776000,13,active
P0000184,S01388,CAT007,Executive Shoes Item 184,Executive,2024-11-02,370000,271000,218000,1529,active
P0000185,S01344,CAT005,Erigo Women Fashion Item 185,Erigo,2025-01-14,354000,300000,234000,1685,active
P0000186,S01176,CAT017,Tupperware Cleaning Tools Item 186,Tupperware,2025-07-05,85000,69000,46000,2269,active
P0000187,S03296,CAT024,Kapal Api Fresh Food Item 187,Kapal Api,2026-02-01,84000,82000,50000,2420,active
P0000188,S03489,CAT025,Nike Fitness Item 188,Nike,2026-04-01,334000,269000,156000,1775,active
P0000189,S00820,CAT005,No Brand Women Fashion Item 189,No Brand,2022-05-18,43000,37000,27000,839,active
P0000190,S01106,CAT028,Honda Car Accessories Item 190,Honda,2023-06-10,346000,255000,171000,518,active
P0000191,S00282,CAT009,CottonInk Muslim Fashion Item 191,CottonInk,2026-04-18,352000,288000,231000,2230,active
P0000192,S03510,CAT012,Avoskin Fragrance Item 192,Avoskin,2024-10-05,107000,102000,61000,1903,active
P0000193,S02249,CAT016,Oxone Home Decor Item 193,Oxone,2025-06-30,283000,277000,229000,102,active
P0000194,S00124,CAT016,Krisbow Home Decor Item 194,Krisbow,2024-02-13,327000,324000,264000,1144,active
P0000195,S03836,CAT015,No Brand Furniture Item 195,No Brand,2025-03-21,7739000,6796000,5558000,548,active
P0000196,S03386,CAT011,Skintific Makeup Item 196,Skintific,2025-12-01,37000,35000,24000,2116,active
P0000197,S02520,CAT025,Specs Fitness Item 197,Specs,2023-05-31,206000,205000,136000,690,active
P0000198,S02019,CAT010,Emina Skincare Item 198,Emina,2025-02-28,1077000,787000,568000,763,active
P0000199,S00352,CAT009,Nevada Muslim Fashion Item 199,Nevada,2025-11-09,780000,593000,324000,1382,active
P0000200,S00576,CAT024,Wings Fresh Food Item 200,Wings,2023-02-13,143000,129000,83000,1284,active
P0000201,S03598,CAT011,Somethinc Makeup Item 201,Somethinc,2022-06-25,292000,209000,117000,865,active
P0000202,S02311,CAT028,Aspira Car Accessories Item 202,Aspira,2022-08-10,595000,552000,380000,786,active
P0000203,S00199,CAT017,Ace Cleaning Tools Item 203,Ace,2022-05-28,361000,264000,186000,2057,active
P0000204,S03954,CAT011,Emina Makeup Item 204,Emina,2023-10-28,281000,210000,121000,421,delisted
P0000205,S02466,CAT004,Xiaomi Computers & Laptops Item 205,Xiaomi,2024-12-26,34637000,25390000,15428000,827,active
P0000206,S02357,CAT007,Executive Shoes Item 206,Executive,2024-08-30,1324000,1285000,1018000,1401,active
P0000207,S02925,CAT017,Krisbow Cleaning Tools Item 207,Krisbow,2023-11-26,287000,252000,209000,1856,active
P0000208,S01521,CAT009,Erigo Muslim Fashion Item 208,Erigo,2023-01-07,199000,186000,125000,451,active
P0000209,S00028,CAT002,Anker Gadget Accessories Item 209,Anker,2024-10-03,52000,41000,30000,1453,active
P0000210,S02277,CAT020,Pigeon Baby Food Item 210,Pigeon,2025-11-03,53000,43000,27000,883,active
P0000211,S01675,CAT016,Tupperware Home Decor Item 211,Tupperware,2023-07-16,122000,88000,70000,1046,active
P0000212,S03869,CAT026,Adidas Outdoor Item 212,Adidas,2024-05-31,1531000,1290000,1039000,196,active
P0000213,S01265,CAT006,Nevada Men Fashion Item 213,Nevada,2022-07-18,52000,50000,27000,771,active
P0000214,S03994,CAT004,Asus Computers & Laptops Item 214,Asus,2024-06-29,7404000,5451000,4491000,1810,active
P0000215,S03239,CAT023,Kapal Api Household Supplies Item 215,Kapal Api,2022-11-28,88000,81000,50000,198,active
P0000216,S00644,CAT010,Wardah Skincare Item 216,Wardah,2023-09-14,130000,95000,62000,2488,active
P0000217,S03929,CAT024,ABC Fresh Food Item 217,ABC,2022-01-31,36000,27000,16000,988,active
P0000218,S02008,CAT009,Berrybenka Muslim Fashion Item 218,Berrybenka,2025-10-31,878000,801000,621000,1773,active
P0000219,S00330,CAT005,Berrybenka Women Fashion Item 219,Berrybenka,2025-04-21,75000,74000,38000,1912,active
P0000220,S00027,CAT008,Berrybenka Bags Item 220,Berrybenka,2024-01-25,67000,67000,37000,145,active
P0000221,S00304,CAT005,No Brand Women Fashion Item 221,No Brand,2023-09-07,265000,225000,162000,1547,active
P0000222,S03342,CAT008,This Is April Bags Item 222,This Is April,2023-06-06,146000,120000,66000,2322,active
P0000223,S00079,CAT014,Oxone Kitchenware Item 223,Oxone,2026-01-15,325000,253000,132000,1592,inactive
P0000224,S03451,CAT028,Honda Car Accessories Item 224,Honda,2025-01-30,160000,132000,99000,1190,active
P0000225,S03388,CAT010,Skintific Skincare Item 225,Skintific,2025-10-03,39000,29000,22000,1035,active
P0000226,S03167,CAT011,Skintific Makeup Item 226,Skintific,2025-09-14,578000,520000,362000,2388,active
P0000227,S03369,CAT028,Bosch Car Accessories Item 227,Bosch,2025-08-11,2172000,1887000,1336000,282,active
P0000228,S00103,CAT013,Azarine Hair Care Item 228,Azarine,2024-03-16,136000,111000,62000,520,active
P0000229,S02985,CAT004,Samsung Computers & Laptops Item 229,Samsung,2024-04-12,27905000,26791000,18659000,559,active
P0000230,S02574,CAT005,No Brand Women Fashion Item 230,No Brand,2025-07-19,119000,99000,68000,1330,active
P0000231,S02706,CAT015,Ace Furniture Item 231,Ace,2024-03-22,397000,373000,252000,441,active
P0000232,S00949,CAT012,Azarine Fragrance Item 232,Azarine,2026-02-26,264000,211000,159000,1035,active
P0000233,S00272,CAT013,Somethinc Hair Care Item 233,Somethinc,2023-08-25,267000,205000,145000,1930,active
P0000234,S00846,CAT011,Emina Makeup Item 234,Emina,2025-05-30,810000,657000,461000,1566,active
P0000235,S02745,CAT023,Sosro Household Supplies Item 235,Sosro,2025-05-18,85000,80000,52000,966,active
P0000236,S02572,CAT012,Maybelline Fragrance Item 236,Maybelline,2022-08-19,134000,105000,76000,205,active
P0000237,S02328,CAT020,Merries Baby Food Item 237,Merries,2024-05-06,93000,92000,54000,1617,active
P0000238,S03567,CAT006,CottonInk Men Fashion Item 238,CottonInk,2023-04-20,664000,486000,374000,1587,active
P0000239,S03036,CAT023,Unilever Household Supplies Item 239,Unilever,2024-10-21,123000,89000,72000,1344,active
P0000240,S02070,CAT023,Sosro Household Supplies Item 240,Sosro,2024-02-07,240000,178000,133000,1205,active
P0000241,S02069,CAT023,Indomie Household Supplies Item 241,Indomie,2023-03-03,97000,80000,58000,701,active
P0000242,S01868,CAT008,This Is April Bags Item 242,This Is April,2023-05-24,67000,64000,33000,667,active
P0000243,S01788,CAT007,Berrybenka Shoes Item 243,Berrybenka,2023-02-15,1054000,1053000,625000,2181,active
P0000244,S01444,CAT031,Nintendo Toys Item 244,Nintendo,2024-03-14,374000,346000,282000,173,active
P0000245,S02160,CAT018,Bebelac Baby Clothes Item 245,Bebelac,2022-04-28,315000,315000,198000,2495,active
P0000246,S02870,CAT009,Executive Muslim Fashion Item 246,Executive,2025-08-07,374000,367000,213000,446,active
P0000247,S00567,CAT012,Maybelline Fragrance Item 247,Maybelline,2023-10-25,391000,336000,204000,559,active
P0000248,S03885,CAT004,Samsung Computers & Laptops Item 248,Samsung,2025-03-13,12771000,9770000,6775000,2225,active
P0000249,S03067,CAT007,CottonInk Shoes Item 249,CottonInk,2024-06-25,1036000,837000,625000,1876,active
P0000250,S03054,CAT013,Maybelline Hair Care Item 250,Maybelline,2023-03-08,402000,334000,273000,1866,active
P0000251,S03064,CAT012,Emina Fragrance Item 251,Emina,2024-12-30,429000,429000,305000,1172,inactive
P0000252,S02237,CAT011,Somethinc Makeup Item 252,Somethinc,2025-11-10,570000,467000,274000,388,active
P0000253,S02236,CAT006,This Is April Men Fashion Item 253,This Is April,2023-03-05,251000,199000,130000,1422,active
P0000254,S02764,CAT026,Nike Outdoor Item 254,Nike,2023-02-01,3178000,2747000,1818000,514,active
