seller_id,shop_name,join_date,seller_tier,city,province,is_official_store,commission_rate
S00039,Murah Collection 39,2021-04-04,Bronze,Jakarta Barat,DKI Jakarta,False,0.0474
S00040,Nusantara Mart 40,2026-01-19,Silver,Bandung,Jawa Barat,False,0.048
S00041,Mandiri House 41,2026-04-01,Bronze,Tangerang,Banten,False,0.0487
S00042,Sentosa Gallery 42,2022-02-04,Silver,Tangerang,Banten,False,0.0581
S00043,Digital Shop 43,2021-10-27,Silver,Bekasi,Jawa Barat,False,0.059
S00044,Official Mart 44,2023-02-03,Silver,Jakarta Selatan,DKI Jakarta,False,0.0489
S00045,Amanah Fashion 45,2025-11-05,Gold,Bekasi,Jawa Barat,False,0.0584
S00046,Global Supply 46,2024-08-30,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0498
S00047,Prima Beauty 47,2024-08-03,Bronze,Cirebon,Jawa Barat,False,0.0353
S00048,Makmur Center 48,2024-05-12,Bronze,Jakarta Utara,DKI Jakarta,False,0.0399
S00049,Murah Shop 49,2023-09-23,Mall,Medan,Sumatera Utara,True,0.0945
S00050,Sentosa Warehouse 50,2024-05-14,Gold,Tangerang Selatan,Banten,False,0.0662
S00051,Official Collection 51,2025-07-31,New Seller,Jakarta Timur,DKI Jakarta,False,0.0374
S00052,Cahaya Collection 52,2021-09-12,Gold,Bandung,Jawa Barat,False,0.0658
S00053,Cahaya Store 53,2025-03-12,Bronze,Jakarta Barat,DKI Jakarta,False,0.036
S00054,Jaya Tech 54,2021-07-13,Gold,Jakarta Pusat,DKI Jakarta,False,0.0686
S00055,Nusantara Shop 55,2021-10-06,Silver,Jakarta Selatan,DKI Jakarta,False,0.0621
S00056,Makmur Store 56,2024-04-11,New Seller,Semarang,Jawa Tengah,False,0.0426
S00057,Murah Center 57,2025-08-03,Bronze,Yogyakarta,DI Yogyakarta,False,0.0425
S00058,Murah Center 58,2023-10-13,Gold,Tangerang,Banten,False,0.0747
S00059,Sentosa Depot 59,2021-11-26,Gold,Jakarta Utara,DKI Jakarta,False,0.0651
S00060,Digital Beauty 60,2021-06-17,Gold,Palembang,Sumatera Selatan,False,0.0557
S00061,Makmur Gallery 61,2023-10-01,Silver,Bogor,Jawa Barat,False,0.0649
S00062,Mega Tech 62,2025-03-30,Silver,Bandung,Jawa Barat,False,0.0633
S00063,Makmur Warehouse 63,2025-01-17,New Seller,Bogor,Jawa Barat,False,0.0413
S00064,Mandiri Store 64,2023-04-30,Gold,Jakarta Barat,DKI Jakarta,False,0.0735
S00065,Jaya Collection 65,2021-08-17,New Seller,Tangerang Selatan,Banten,False,0.029
S00066,Global Beauty 66,2025-08-08,Bronze,Denpasar,Bali,False,0.0447
S00067,Makmur Shop 67,2023-09-23,Mall,Jakarta Barat,DKI Jakarta,True,0.0934
S00068,Jaya Collection 68,2023-05-20,Silver,Jakarta Pusat,DKI Jakarta,False,0.0491
S00069,Official Beauty 69,2025-04-14,Silver,Bekasi,Jawa Barat,False,0.0476
S00070,Digital Collection 70,2025-04-22,Silver,Malang,Jawa Timur,False,0.0469
S00071,Cantik Warehouse 71,2023-07-06,New Seller,Bekasi,Jawa Barat,False,0.0326
S00072,Nusantara Shop 72,2023-05-29,Bronze,Solo,Jawa Tengah,False,0.0509
S00073,Jaya Shop 73,2023-07-15,New Seller,Sidoarjo,Jawa Timur,False,0.0388
S00074,Mega House 74,2023-05-11,Silver,Jakarta Pusat,DKI Jakarta,False,0.0559
S00075,Jaya Store 75,2022-10-07,Bronze,Jakarta Timur,DKI Jakarta,False,0.0391
S00076,Global Collection 76,2022-12-20,Bronze,Surabaya,Jawa Timur,False,0.047
S00077,Cantik Tech 77,2021-04-10,Silver,Sidoarjo,Jawa Timur,False,0.0466
S00078,Makmur Store 78,2021-05-29,Silver,Tangerang,Banten,False,0.0547
S00079,Prima Mart 79,2022-10-06,Gold,Bekasi,Jawa Barat,False,0.0608
S00080,Prima Mart 80,2022-04-05,Gold,Depok,Jawa Barat,False,0.0594
S00081,Mandiri Collection 81,2024-11-12,Bronze,Bogor,Jawa Barat,False,0.0507
S00082,Sentosa House 82,2023-08-14,Bronze,Jakarta Barat,DKI Jakarta,False,0.0442
S00083,Global Warehouse 83,2021-02-12,Gold,Bandung,Jawa Barat,False,0.0686
S00084,Official Beauty 84,2025-04-07,Bronze,Tangerang,Banten,False,0.0355
S00085,Digital Depot 85,2021-03-27,Silver,Yogyakarta,DI Yogyakarta,False,0.0461
S00086,Mega Mart 86,2021-02-24,Bronze,Cirebon,Jawa Barat,True,0.0514
S00087,Global Store 87,2023-08-17,Bronze,Cirebon,Jawa Barat,False,0.0409
S00088,Sinar Shop 88,2023-08-24,New Seller,Jakarta Timur,DKI Jakarta,False,0.0301
S00089,Berkah Fashion 89,2026-02-22,New Seller,Tangerang Selatan,Banten,False,0.0447
S00090,Digital Collection 90,2021-04-17,Gold,Tangerang Selatan,Banten,False,0.0614
S00091,Mega Depot 91,2025-11-22,Bronze,Cirebon,Jawa Barat,False,0.0355
S00092,Mandiri Fashion 92,2022-01-09,New Seller,Bandung,Jawa Barat,False,0.0267
S00093,Nusantara Shop 93,2025-02-04,Gold,Bekasi,Jawa Barat,False,0.0715
S00094,Sentosa Beauty 94,2025-10-20,New Seller,Palembang,Sumatera Selatan,False,0.0371
S00095,Jaya Collection 95,2023-12-14,New Seller,Depok,Jawa Barat,False,0.0281
S00096,Cantik Store 96,2025-06-11,Gold,Depok,Jawa Barat,False,0.0597
S00097,Sinar Fashion 97,2021-05-30,Gold,Bekasi,Jawa Barat,True,0.0614
S00098,Mandiri Store 98,2021-05-10,New Seller,Semarang,Jawa Tengah,False,0.0437
S00099,Cahaya Collection 99,2021-08-19,Gold,Jakarta Selatan,DKI Jakarta,False,0.0585
S00100,Prima Tech 100,2022-07-07,Bronze,Solo,Jawa Tengah,False,0.0408
S00101,Mandiri Shop 101,2021-12-28,Bronze,Bekasi,Jawa Barat,False,0.046
S00102,Murah Shop 102,2022-12-21,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0452
S00103,Makmur Center 103,2021-08-04,Silver,Jakarta Timur,DKI Jakarta,False,0.0579
S00104,Berkah Depot 104,2021-09-26,Gold,Jakarta Selatan,DKI Jakarta,False,0.0675
S00105,Berkah Shop 105,2023-04-26,New Seller,Bandung,Jawa Barat,False,0.0294
S00106,Mandiri Collection 106,2022-09-19,Gold,Palembang,Sumatera Selatan,False,0.0691
S00107,Sentosa Shop 107,2023-07-13,Silver,Medan,Sumatera Utara,False,0.0548
S00108,Digital House 108,2023-03-28,Gold,Bandung,Jawa Barat,False,0.0711
S00109,Mandiri Fashion 109,2026-04-02,Silver,Tangerang Selatan,Banten,False,0.0569
S00110,Berkah Center 110,2021-02-12,Gold,Jakarta Selatan,DKI Jakarta,False,0.0678
S00111,Indo House 111,2026-01-31,Bronze,Jakarta Utara,DKI Jakarta,False,0.048
S00112,Amanah Tech 112,2021-01-07,Bronze,Bekasi,Jawa Barat,False,0.0389
S00113,Official Shop 113,2025-01-24,Silver,Serang,Banten,False,0.0474
S00114,Mandiri Beauty 114,2022-10-03,Silver,Malang,Jawa Timur,False,0.0502
S00115,Prima Mart 115,2021-03-23,Bronze,Sidoarjo,Jawa Timur,False,0.0471
S00116,Global Beauty 116,2026-02-12,Gold,Jakarta Utara,DKI Jakarta,False,0.0698
S00117,Official Beauty 117,2026-04-06,Bronze,Jakarta Timur,DKI Jakarta,False,0.0381
S00118,Murah Warehouse 118,2021-07-13,Mall,Surabaya,Jawa Timur,True,0.0714
S00119,Sinar Store 119,2021-09-19,Silver,Medan,Sumatera Utara,False,0.0536
S00120,Sentosa Mart 120,2022-05-05,New Seller,Jakarta Barat,DKI Jakarta,False,0.039
S00121,Official Shop 121,2024-04-22,New Seller,Jakarta Selatan,DKI Jakarta,False,0.0426
S00122,Cahaya Collection 122,2024-06-27,Bronze,Jakarta Utara,DKI Jakarta,False,0.0477
S00123,Global Supply 123,2022-06-18,Silver,Makassar,Sulawesi Selatan,False,0.0521
S00124,Global Mart 124,2023-10-02,Gold,Tangerang,Banten,False,0.0666
S00125,Prima Depot 125,2023-01-25,Bronze,Jakarta Pusat,DKI Jakarta,False,0.0379
S00126,Mandiri Mart 126,2025-10-29,Bronze,Tangerang Selatan,Banten,False,0.0446
S00127,Global Depot 127,2023-04-10,Silver,Jakarta Barat,DKI Jakarta,False,0.0559
S00128,Prima Supply 128,2022-02-11,Gold,Jakarta Timur,DKI Jakarta,False,0.0612
S00129,Global Mart 129,2021-09-08,Mall,Tangerang Selatan,Banten,True,0.0844
S00130,Amanah Collection 130,2022-12-27,New Seller,Yogyakarta,DI Yogyakarta,False,0.0411
S00131,Official Supply 131,2024-03-18,Gold,Jakarta Pusat,DKI Jakarta,False,0.0678
S00132,Berkah Store 132,2024-05-14,Bronze,Jakarta Barat,DKI Jakarta,False,0.0515
S00133,Makmur Center 133,2021-02-09,Silver,Tangerang,Banten,False,0.0507
S00134,Jaya Supply 134,2021-09-19,Gold,Bogor,Jawa Barat,False,0.0663
S00135,Makmur Warehouse 135,2024-08-26,New Seller,Jakarta Selatan,DKI Jakarta,False,0.0341
S00136,Amanah Warehouse 136,2024-12-26,New Seller,Tangerang,Banten,False,0.0377
S00137,Murah Fashion 137,2022-06-18,Silver,Tangerang,Banten,False,0.0511
S00138,Mandiri Mart 138,2021-10-28,Gold,Depok,Jawa Barat,False,0.055
S00139,Murah House 139,2022-01-30,New Seller,Jakarta Selatan,DKI Jakarta,False,0.0388
S00140,Mega Collection 140,2023-02-13,Silver,Denpasar,Bali,False,0.0522
S00141,Sentosa Store 141,2025-09-30,Gold,Tangerang Selatan,Banten,False,0.0667
S00142,Cantik Supply 142,2021-08-26,Bronze,Jakarta Pusat,DKI Jakarta,False,0.0533
S00143,Berkah Fashion 143,2021-11-07,Gold,Medan,Sumatera Utara,False,0.0691
S00144,Cahaya Supply 144,2023-10-06,Bronze,Surabaya,Jawa Timur,False,0.0455
S00145,Mega Fashion 145,2023-11-15,Bronze,Bekasi,Jawa Barat,False,0.039
S00146,Mega Mart 146,2025-05-05,Silver,Jakarta Selatan,DKI Jakarta,False,0.0604
S00147,Amanah Beauty 147,2022-09-30,Mall,Sidoarjo,Jawa Timur,True,0.0736
S00148,Prima Fashion 148,2025-07-18,Bronze,Medan,Sumatera Utara,False,0.0528
S00149,Global Beauty 149,2022-05-02,Bronze,Tangerang Selatan,Banten,False,0.0468
S00150,Sentosa Center 150,2026-04-18,Silver,Jakarta Timur,DKI Jakarta,False,0.0495
S00151,Jaya Beauty 151,2025-08-03,Gold,Jakarta Selatan,DKI Jakarta,False,0.0607
S00152,Murah Center 152,2025-02-06,Silver,Tangerang,Banten,False,0.0496
S00153,Mandiri Fashion 153,2023-10-14,New Seller,Jakarta Selatan,DKI Jakarta,False,0.0278
S00154,Official House 154,2026-03-06,Gold,Jakarta Pusat,DKI Jakarta,False,0.0679
S00155,Makmur Gallery 155,2023-07-12,New Seller,Bekasi,Jawa Barat,False,0.0415
S00156,Cantik Warehouse 156,2021-03-14,Bronze,Tangerang Selatan,Banten,False,0.0363
S00157,Makmur Center 157,2024-01-29,Silver,Palembang,Sumatera Selatan,False,0.0589
S00158,Mandiri Gallery 158,2022-09-21,Bronze,Jakarta Barat,DKI Jakarta,False,0.0417
S00159,Sinar Center 159,2022-04-10,Silver,Jakarta Pusat,DKI Jakarta,False,0.0605
S00160,Jaya Collection 160,2024-02-09,New Seller,Surabaya,Jawa Timur,False,0.0306
S00161,Jaya Shop 161,2024-03-28,Gold,Jakarta Utara,DKI Jakarta,False,0.0601
S00162,Digital Center 162,2021-12-13,Silver,Jakarta Pusat,DKI Jakarta,False,0.0489
S00163,Nusantara Collection 163,2025-02-20,Mall,Cirebon,Jawa Barat,True,0.0741
S00164,Makmur Store 164,2021-09-11,Gold,Semarang,Jawa Tengah,False,0.0745
S00165,Makmur Gallery 165,2021-04-28,New Seller,Bekasi,Jawa Barat,False,0.0411
S00166,Murah Collection 166,2024-01-21,Bronze,Bandung,Jawa Barat,False,0.0484
S00167,Nusantara Supply 167,2024-04-10,Gold,Bandung,Jawa Barat,True,0.0624
S00168,Cantik Tech 168,2025-01-16,Silver,Bekasi,Jawa Barat,False,0.0459
S00169,Sentosa Beauty 169,2022-08-17,New Seller,Jakarta Timur,DKI Jakarta,False,0.0298
S00170,Official Depot 170,2024-08-02,Bronze,Jakarta Barat,DKI Jakarta,False,0.0356
S00171,Nusantara Depot 171,2025-09-01,New Seller,Jakarta Barat,DKI Jakarta,False,0.0437
S00172,Makmur Store 172,2024-09-27,New Seller,Semarang,Jawa Tengah,False,0.045
S00173,Nusantara Beauty 173,2022-06-15,Bronze,Yogyakarta,DI Yogyakarta,False,0.0545
S00174,Sentosa Warehouse 174,2026-02-08,Bronze,Surabaya,Jawa Timur,False,0.0475
S00175,Nusantara Center 175,2024-05-18,New Seller,Semarang,Jawa Tengah,True,0.0262
S00176,Global House 176,2026-01-28,Bronze,Bandung,Jawa Barat,False,0.0471
S00177,Sinar Beauty 177,2021-03-15,Gold,Solo,Jawa Tengah,False,0.0611
S00178,Jaya Tech 178,2021-05-14,Bronze,Bandung,Jawa Barat,False,0.0413
S00179,Prima Fashion 179,2025-09-27,New Seller,Jakarta Barat,DKI Jakarta,False,0.0325
S00180,Sinar Fashion 180,2022-01-30,Bronze,Tangerang,Banten,False,0.0474
S00181,Official Store 181,2026-04-30,Gold,Palembang,Sumatera Selatan,False,0.0606
S00182,Nusantara Tech 182,2023-06-05,New Seller,Tangerang,Banten,False,0.0285
S00183,Amanah Center 183,2025-03-15,Bronze,Medan,Sumatera Utara,False,0.046
S00184,Prima Fashion 184,2021-03-13,Silver,Palembang,Sumatera Selatan,False,0.0563
S00185,Sinar Center 185,2023-10-23,Bronze,Surabaya,Jawa Timur,False,0.038
S00186,Digital Mart 186,2022-03-04,Silver,Banjarmasin,Kalimantan Selatan,True,0.0457
S00187,Indo Gallery 187,2022-10-10,New Seller,Denpasar,Bali,False,0.0411
S00188,Global Tech 188,2025-04-07,Silver,Tangerang Selatan,Banten,True,0.0486
S00189,Amanah Fashion 189,2023-03-15,Mall,Banjarmasin,Kalimantan Selatan,True,0.0731
S00190,Sentosa Shop 190,2021-11-13,Bronze,Tangerang,Banten,False,0.0476
S00191,Murah Depot 191,2025-11-29,New Seller,Depok,Jawa Barat,False,0.0418
S00192,Digital Tech 192,2021-09-16,Silver,Surabaya,Jawa Timur,False,0.0621
S00193,Official Center 193,2022-01-11,Bronze,Semarang,Jawa Tengah,False,0.0496
S00194,Sentosa Collection 194,2025-10-10,Gold,Jakarta Pusat,DKI Jakarta,True,0.0669
S00195,Jaya Mart 195,2023-01-10,Silver,Jakarta Timur,DKI Jakarta,False,0.0608
S00196,Amanah Store 196,2023-09-01,New Seller,Tangerang Selatan,Banten,False,0.0369
S00197,Sinar Tech 197,2022-07-21,Silver,Jakarta Timur,DKI Jakarta,False,0.057
S00198,Sentosa Shop 198,2021-01-25,Bronze,Surabaya,Jawa Timur,False,0.0429
S00199,Global Warehouse 199,2023-05-30,Silver,Bandung,Jawa Barat,False,0.0469
S00200,Sinar Store 200,2024-03-03,Bronze,Cirebon,Jawa Barat,False,0.046
S00201,Murah Fashion 201,2024-05-24,New Seller,Jakarta Selatan,DKI Jakarta,False,0.0264
S00202,Official Supply 202,2022-11-01,Gold,Bandung,Jawa Barat,False,0.0603
S00203,Berkah Beauty 203,2022-05-04,Gold,Solo,Jawa Tengah,False,0.0746
S00204,Digital Gallery 204,2023-12-17,New Seller,Surabaya,Jawa Timur,False,0.0304
S00205,Berkah Tech 205,2022-01-22,Mall,Tangerang,Banten,True,0.0765
S00206,Berkah Fashion 206,2021-04-22,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0446
S00207,Sentosa House 207,2023-07-06,Silver,Jakarta Barat,DKI Jakarta,False,0.0486
S00208,Mandiri Warehouse 208,2021-12-20,Silver,Depok,Jawa Barat,False,0.0581
S00209,Sinar Collection 209,2024-11-24,Bronze,Bekasi,Jawa Barat,False,0.0531
S00210,Jaya Supply 210,2021-02-13,Gold,Bandung,Jawa Barat,False,0.0572
S00211,Nusantara Center 211,2025-08-16,Silver,Bekasi,Jawa Barat,False,0.0546
S00212,Cahaya Fashion 212,2025-01-08,Silver,Jakarta Selatan,DKI Jakarta,False,0.0476
S00213,Amanah Shop 213,2021-09-30,Gold,Jakarta Barat,DKI Jakarta,False,0.0584
S00214,Mega Center 214,2025-08-28,New Seller,Pekanbaru,Riau,False,0.0256
S00215,Sinar House 215,2021-02-20,New Seller,Depok,Jawa Barat,False,0.0295
S00216,Official Store 216,2022-03-24,Gold,Medan,Sumatera Utara,False,0.0627
S00217,Sentosa Shop 217,2022-03-11,Bronze,Jakarta Utara,DKI Jakarta,True,0.053
S00218,Berkah Tech 218,2023-10-02,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0425
S00219,Official Mart 219,2026-01-30,Bronze,Jakarta Barat,DKI Jakarta,False,0.0509
S00220,Sentosa Warehouse 220,2024-08-28,Mall,Bekasi,Jawa Barat,True,0.0943
S00221,Jaya Store 221,2022-02-26,Bronze,Depok,Jawa Barat,False,0.0379
S00222,Prima Supply 222,2021-12-02,Gold,Surabaya,Jawa Timur,False,0.0638
S00223,Prima Warehouse 223,2021-04-23,Silver,Medan,Sumatera Utara,False,0.0456
S00224,Murah Shop 224,2025-05-08,Bronze,Jakarta Timur,DKI Jakarta,False,0.0413
S00225,Makmur Collection 225,2023-03-02,Bronze,Bandung,Jawa Barat,False,0.0424
S00226,Digital House 226,2025-08-16,Gold,Tangerang,Banten,False,0.0615
S00227,Murah Collection 227,2023-05-10,New Seller,Banjarmasin,Kalimantan Selatan,False,0.0296
S00228,Mega Supply 228,2025-09-18,Silver,Cirebon,Jawa Barat,False,0.0455
S00229,Official Depot 229,2021-03-29,Gold,Jakarta Selatan,DKI Jakarta,False,0.065
S00230,Murah Store 230,2025-08-21,Silver,Tangerang,Banten,False,0.0632
S00231,Sinar Depot 231,2023-09-18,Bronze,Tangerang,Banten,False,0.0364
S00232,Digital Warehouse 232,2025-06-28,New Seller,Jakarta Selatan,DKI Jakarta,False,0.0372
S00233,Jaya Warehouse 233,2021-07-26,Bronze,Jakarta Utara,DKI Jakarta,False,0.0541
S00234,Sinar Collection 234,2026-04-14,Bronze,Bandung,Jawa Barat,True,0.0432
S00235,Makmur Mart 235,2025-09-21,Bronze,Jakarta Pusat,DKI Jakarta,False,0.0466
S00236,Cahaya Depot 236,2022-07-22,Silver,Surabaya,Jawa Timur,False,0.0489
S00237,Jaya Warehouse 237,2022-07-09,Silver,Palembang,Sumatera Selatan,False,0.0542
S00238,Mandiri Tech 238,2024-04-27,Gold,Palembang,Sumatera Selatan,False,0.0703
S00239,Cahaya Store 239,2024-04-07,Mall,Medan,Sumatera Utara,True,0.0902
S00240,Global Shop 240,2021-07-11,New Seller,Balikpapan,Kalimantan Timur,False,0.0341
S00241,Indo Center 241,2022-02-09,Mall,Jakarta Selatan,DKI Jakarta,True,0.0745
S00242,Sentosa Collection 242,2021-07-24,New Seller,Bandung,Jawa Barat,False,0.0287
S00243,Amanah Center 243,2022-04-04,Bronze,Jakarta Timur,DKI Jakarta,False,0.0544
S00244,Amanah Shop 244,2021-10-27,Gold,Jakarta Selatan,DKI Jakarta,False,0.0601
S00245,Berkah Shop 245,2025-05-12,New Seller,Tangerang Selatan,Banten,False,0.04
S00246,Global Store 246,2023-04-08,Silver,Bogor,Jawa Barat,False,0.0628
S00247,Sentosa Gallery 247,2021-08-18,Gold,Yogyakarta,DI Yogyakarta,False,0.0607
S00248,Official Shop 248,2021-07-14,Bronze,Palembang,Sumatera Selatan,False,0.0358
S00249,Global Beauty 249,2022-05-18,Silver,Pekanbaru,Riau,False,0.0626
S00250,Mandiri House 250,2025-02-21,Silver,Bekasi,Jawa Barat,False,0.0512
S00251,Nusantara Beauty 251,2023-03-17,Mall,Jakarta Selatan,DKI Jakarta,True,0.0864
S00252,Jaya Supply 252,2021-09-26,Silver,Tangerang Selatan,Banten,False,0.0581
S00253,Sinar Mart 253,2022-05-30,Silver,Jakarta Selatan,DKI Jakarta,False,0.0506
S00254,Mandiri House 254,2023-02-14,Gold,Bandung,Jawa Barat,False,0.0566
S00255,Sentosa Fashion 255,2021-04-09,Silver,Surabaya,Jawa Timur,False,0.0528
S00256,Cantik Fashion 256,2023-10-29,Bronze,Tangerang Selatan,Banten,False,0.0401
S00257,Digital Store 257,2021-12-18,New Seller,Depok,Jawa Barat,False,0.0343
S00258,Makmur Fashion 258,2022-06-27,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0473
S00259,Cantik Fashion 259,2026-01-02,Bronze,Tangerang,Banten,False,0.0548
S00260,Makmur Warehouse 260,2021-01-10,Silver,Surabaya,Jawa Timur,False,0.0637
S00261,Sinar Beauty 261,2024-05-09,Gold,Pekanbaru,Riau,False,0.0711
S00262,Mandiri Warehouse 262,2025-04-06,Bronze,Bekasi,Jawa Barat,False,0.0412
S00263,Digital Depot 263,2025-05-11,New Seller,Bandung,Jawa Barat,False,0.0394
S00264,Official House 264,2025-10-03,Bronze,Jakarta Selatan,DKI Jakarta,False,0.0491
S00265,Nusantara Mart 265,2022-04-29,Gold,Palembang,Sumatera Selatan,True,0.0664
S00266,Cahaya Store 266,2025-05-17,Mall,Bogor,Jawa Barat,True,0.0785
S00267,Prima House 267,2024-08-19,Mall,Semarang,Jawa Tengah,True,0.076
S00268,Jaya Collection 268,2024-04-24,Mall,Jakarta Timur,DKI Jakarta,True,0.0828
S00269,Sentosa Shop 269,2024-02-06,New Seller,Serang,Banten,False,0.032
S00270,Nusantara Fashion 270,2021-09-17,Mall,Tangerang Selatan,Banten,True,0.0798
S00271,Sinar Gallery 271,2024-07-09,Gold,Tangerang Selatan,Banten,False,0.0597
S00272,Jaya Center 272,2025-04-26,Mall,Jakarta Utara,DKI Jakarta,True,0.0815
S00273,Indo Collection 273,2021-04-15,Silver,Jakarta Barat,DKI Jakarta,False,0.0474
S00274,Berkah Center 274,2025-03-16,Bronze,Serang,Banten,False,0.044
S00275,Sinar Fashion 275,2025-03-02,Mall,Bogor,Jawa Barat,True,0.0737
S00276,Indo Supply 276,2021-01-09,Silver,Denpasar,Bali,False,0.0623
S00277,Cantik Collection 277,2021-12-23,New Seller,Jakarta Pusat,DKI Jakarta,False,0.0414
S00278,Cahaya Fashion 278,2025-02-27,Gold,Denpasar,Bali,False,0.0745
S00279,Sentosa Supply 279,2024-07-06,Gold,Medan,Sumatera Utara,False,0.0687
S00280,Jaya Gallery 280,2021-09-13,New Seller,Jakarta Timur,DKI Jakarta,False,0.0413
S00281,Mandiri Center 281,2023-10-24,New Seller,Denpasar,Bali,False,0.032
S00282,Mandiri Shop 282,2022-04-07,Gold,Depok,Jawa Barat,False,0.0642
S00283,Mega Shop 283,2025-12-16,Bronze,Solo,Jawa Tengah,False,0.0445
S00284,Amanah House 284,2024-04-15,New Seller,Bekasi,Jawa Barat,False,0.0399
S00285,Nusantara Fashion 285,2023-06-06,Silver,Banjarmasin,Kalimantan Selatan,False,0.0566
S00286,Indo Tech 286,2024-11-20,Silver,Depok,Jawa Barat,False,0.049
S00287,Global Gallery 287,2025-10-06,Bronze,Tangerang,Banten,False,0.0421
S00288,Indo House 288,2024-08-12,Mall,Solo,Jawa Tengah,True,0.0906
S00289,Sentosa Warehouse 289,2023-01-14,Mall,Serang,Banten,True,0.0884
S00290,Sinar Collection 290,2022-08-23,Gold,Jakarta Utara,DKI Jakarta,False,0.0585
S00291,Official Gallery 291,2022-05-21,Silver,Tangerang Selatan,Banten,False,0.0493
S00292,Prima Store 292,2022-04-15,Gold,Bogor,Jawa Barat,False,0.0627
S00293,Cantik Shop 293,2026-02-07,Bronze,Bandung,Jawa Barat,False,0.0453
S00294,Mandiri Supply 294,2025-03-05,Gold,Jakarta Selatan,DKI Jakarta,True,0.0724
S00295,Sinar Fashion 295,2023-01-02,New Seller,Jakarta Pusat,DKI Jakarta,False,0.0433
S00296,Mega Beauty 296,2025-05-01,Bronze,Semarang,Jawa Tengah,False,0.0438
