refund_id,order_item_id,refund_datetime,refund_reason,refund_amount,refund_status
RFD00000041,OI000000826,2024-06-22 15:30:01,fake_item,7440960,pending
RFD00000042,OI000000829,2024-07-10 11:06:03,fake_item,1938000,approved
RFD00000043,OI000000830,2024-07-23 11:06:03,damaged_item,555810,rejected
RFD00000044,OI000000894,2025-07-02 13:17:41,not_as_described,64990,rejected
RFD00000045,OI000000971,2024-02-06 07:14:23,late_delivery,549000,approved
RFD00000046,OI000001016,2024-02-11 10:09:35,not_as_described,221480,approved
RFD00000047,OI000001045,2024-10-28 09:35:02,wrong_item,108640,approved
RFD00000048,OI000001089,2025-08-22 22:15:59,not_as_described,334000,approved
RFD00000049,OI000001096,2026-03-08 17:43:09,late_delivery,332220,approved
RFD00000050,OI000001097,2026-02-25 17:43:09,wrong_item,88000,approved
RFD00000051,OI000001107,2024-11-25 13:53:17,late_delivery,34200,approved
RFD00000052,OI000001108,2024-11-20 13:53:17,damaged_item,174800,approved
RFD00000053,OI000001205,2026-03-14 00:09:32,fake_item,150000,approved
RFD00000054,OI000001230,2025-04-17 21:43:43,damaged_item,328000,approved
RFD00000055,OI000001247,2024-02-05 12:57:39,wrong_item,662000,approved
RFD00000056,OI000001301,2025-10-03 09:12:55,late_delivery,116000,approved
RFD00000057,OI000001331,2026-03-17 20:14:58,damaged_item,501000,approved
RFD00000058,OI000001445,2024-03-19 07:41:40,damaged_item,353600,approved
RFD00000059,OI000001459,2024-09-13 13:22:20,not_as_described,1203300,approved
RFD00000060,OI000001512,2026-05-08 11:52:09,wrong_item,59800,approved
RFD00000061,OI000001531,2025-02-13 03:50:36,wrong_item,58880,pending
RFD00000062,OI000001577,2024-02-28 20:47:19,damaged_item,1692000,approved
RFD00000063,OI000001628,2024-04-21 06:34:33,fake_item,1788000,approved
RFD00000064,OI000001629,2024-04-11 06:34:33,damaged_item,727000,approved
RFD00000065,OI000001630,2024-04-19 06:34:33,wrong_item,61110,approved
RFD00000066,OI000001631,2024-04-15 06:34:33,wrong_item,1254000,rejected
RFD00000067,OI000001651,2024-08-28 07:43:23,not_as_described,65000,approved
RFD00000068,OI000001659,2025-04-03 09:18:26,wrong_item,19550,approved
RFD00000069,OI000001688,2025-07-02 15:26:04,fake_item,152720,approved
RFD00000070,OI000001689,2025-06-25 15:26:04,fake_item,70560,approved
RFD00000071,OI000001692,2025-02-26 22:32:04,missing_item,29450,pending
RFD00000072,OI000001698,2025-07-18 07:28:17,late_delivery,16660,approved
RFD00000073,OI000001699,2025-07-15 07:28:17,not_as_described,64000,approved
RFD00000074,OI000001756,2025-04-11 12:29:55,late_delivery,318600,approved
RFD00000075,OI000001853,2025-03-26 18:47:26,fake_item,479220,approved
RFD00000076,OI000001867,2025-11-11 12:37:15,fake_item,26776000,approved
RFD00000077,OI000001884,2024-03-16 19:33:00,fake_item,2181530,approved
RFD00000078,OI000001911,2026-05-04 10:28:38,fake_item,599000,approved
RFD00000079,OI000001912,2026-05-07 10:28:38,late_delivery,576000,approved
RFD00000080,OI000001934,2026-02-02 00:14:23,wrong_item,173000,approved
RFD00000081,OI000001982,2025-07-01 08:11:37,fake_item,152000,pending
RFD00000082,OI000001983,2025-06-26 08:11:37,late_delivery,2029200,rejected
RFD00000083,OI000002091,2025-10-05 06:48:39,late_delivery,211000,approved
RFD00000084,OI000002092,2025-09-30 06:48:39,not_as_described,220000,pending
RFD00000085,OI000002130,2026-05-13 19:33:58,missing_item,15000,approved
RFD00000086,OI000002182,2025-02-10 19:29:17,damaged_item,239400,approved
RFD00000087,OI000002183,2025-02-11 19:29:17,missing_item,110400,approved
RFD00000088,OI000002244,2024-10-30 17:16:17,fake_item,878000,rejected
RFD00000089,OI000002245,2024-10-31 17:16:17,late_delivery,88000,approved
RFD00000090,OI000002246,2025-08-24 14:57:13,fake_item,552000,approved
RFD00000091,OI000002367,2024-05-22 19:16:53,late_delivery,76000,approved
RFD00000092,OI000002439,2024-04-11 23:01:36,fake_item,334000,approved
RFD00000093,OI000002483,2024-06-22 20:51:40,fake_item,1990000,approved
RFD00000094,OI000002484,2024-06-21 20:51:40,fake_item,57230,rejected
RFD00000095,OI000002602,2025-03-01 21:24:04,damaged_item,122360,pending
RFD00000096,OI000002603,2025-03-15 21:24:04,missing_item,23750,approved
RFD00000097,OI000002604,2025-03-04 21:24:04,missing_item,588000,approved
RFD00000098,OI000002608,2024-10-03 23:38:36,not_as_described,277420,approved
RFD00000099,OI000002609,2024-10-13 23:38:36,wrong_item,154560,approved
RFD00000100,OI000002611,2024-04-30 19:46:05,damaged_item,30360,approved
RFD00000101,OI000002683,2024-03-05 14:27:26,fake_item,70810,rejected
RFD00000102,OI000002733,2025-03-09 11:30:18,damaged_item,17000,approved
RFD00000103,OI000002791,2025-10-11 08:04:16,wrong_item,370000,approved
RFD00000104,OI000002792,2025-10-03 08:04:16,missing_item,428450,approved
RFD00000105,OI000002874,2026-05-22 22:52:47,fake_item,148000,approved
RFD00000106,OI000002912,2024-12-26 08:35:18,missing_item,53900,approved
RFD00000107,OI000002951,2024-03-21 21:17:48,late_delivery,241080,rejected
RFD00000108,OI000002958,2026-04-16 16:10:32,missing_item,47000,approved
RFD00000109,OI000003011,2024-03-11 15:15:53,fake_item,34200,approved
RFD00000110,OI000003127,2024-12-17 13:29:23,late_delivery,35700,approved
RFD00000111,OI000003190,2025-11-10 18:39:01,missing_item,802190,approved
RFD00000112,OI000003204,2025-08-27 22:17:37,missing_item,48000,approved
RFD00000113,OI000003225,2025-06-24 08:06:05,damaged_item,349000,approved
RFD00000114,OI000003261,2024-11-23 21:40:04,not_as_described,614000,approved
RFD00000115,OI000003262,2024-11-15 21:40:04,not_as_described,105300,approved
RFD00000116,OI000003263,2024-11-20 21:40:04,damaged_item,16200,approved
RFD00000117,OI000003264,2024-11-21 21:40:04,missing_item,34200,rejected
RFD00000118,OI000003269,2026-03-02 17:39:42,not_as_described,417480,approved
RFD00000119,OI000003311,2024-09-13 12:16:24,not_as_described,241080,approved
RFD00000120,OI000003336,2025-07-19 20:56:05,missing_item,30000,approved
RFD00000121,OI000003337,2025-07-12 20:56:05,late_delivery,118000,approved
RFD00000122,OI000003369,2024-03-26 21:47:36,not_as_described,3105600,approved
RFD00000123,OI000003371,2025-11-23 20:43:02,missing_item,112200,approved
RFD00000124,OI000003374,2024-01-21 20:54:58,fake_item,127070,approved
RFD00000125,OI000003381,2024-03-25 20:14:09,missing_item,160720,approved
RFD00000126,OI000003398,2025-08-10 01:48:54,late_delivery,18000,approved
RFD00000127,OI000003429,2025-09-24 21:27:49,damaged_item,1132520,rejected
RFD00000128,OI000003501,2025-09-21 14:02:22,wrong_item,891000,approved
RFD00000129,OI000003502,2025-09-12 14:02:22,fake_item,308460,approved
RFD00000130,OI000003551,2025-06-09 08:18:12,missing_item,1613100,approved
RFD00000131,OI000003554,2024-03-14 21:04:54,damaged_item,64000,approved
RFD00000132,OI000003564,2025-11-22 08:50:44,late_delivery,70000,approved
RFD00000133,OI000003568,2024-05-22 07:58:54,not_as_described,21000,rejected
RFD00000134,OI000003601,2025-06-17 18:49:23,not_as_described,1746000,approved
RFD00000135,OI000003700,2025-08-22 13:15:40,wrong_item,382850,approved
RFD00000136,OI000003701,2025-08-27 13:15:40,late_delivery,89240,rejected
RFD00000137,OI000003702,2025-08-29 13:15:40,wrong_item,110740,approved
RFD00000138,OI000003865,2025-11-11 12:03:01,fake_item,473340,approved
RFD00000139,OI000003918,2024-08-02 21:38:11,fake_item,78850,approved
RFD00000140,OI000003931,2024-06-15 21:43:15,fake_item,504160,approved
RFD00000141,OI000003933,2024-03-17 19:23:05,late_delivery,22800,approved
RFD00000142,OI000003978,2024-12-15 21:52:56,wrong_item,25000,approved
RFD00000143,OI000003981,2024-02-25 05:35:37,damaged_item,1246400,approved
RFD00000144,OI000003982,2024-03-03 05:35:37,missing_item,85360,approved
RFD00000145,OI000003983,2024-03-08 05:35:37,late_delivery,55000,approved
RFD00000146,OI000003984,2024-02-23 05:35:37,damaged_item,810000,approved
RFD00000147,OI000003985,2024-09-07 10:41:50,wrong_item,730410,approved
RFD00000148,OI000004025,2024-04-13 12:37:43,missing_item,219000,approved
RFD00000149,OI000004224,2026-04-04 20:19:49,missing_item,542000,approved
RFD00000150,OI000004233,2026-03-21 20:22:16,late_delivery,652000,approved
RFD00000151,OI000004249,2025-11-13 18:27:50,wrong_item,630000,approved
RFD00000152,OI000004250,2025-11-23 18:27:50,damaged_item,600950,approved
RFD00000153,OI000004256,2025-03-31 18:07:06,not_as_described,156800,pending
RFD00000154,OI000004286,2024-04-10 19:11:53,late_delivery,46560,approved
RFD00000155,OI000004304,2025-12-06 22:36:57,not_as_described,73000,pending
RFD00000156,OI000004318,2025-10-05 16:41:50,damaged_item,49000,rejected
RFD00000157,OI000004397,2025-12-02 14:34:23,not_as_described,1164000,approved
RFD00000158,OI000004403,2025-02-16 07:37:59,missing_item,70810,pending
RFD00000159,OI000004404,2025-02-06 07:37:59,late_delivery,1155520,approved
RFD00000160,OI000004416,2025-02-11 20:21:02,wrong_item,1708000,approved
RFD00000161,OI000004428,2024-05-10 17:51:43,not_as_described,33320,pending
RFD00000162,OI000004436,2025-08-25 14:38:15,not_as_described,172660,approved
RFD00000163,OI000004476,2025-03-16 20:43:20,wrong_item,68870,approved
RFD00000164,OI000004478,2025-01-05 12:01:34,damaged_item,123000,approved
RFD00000165,OI000004479,2024-06-09 21:02:47,damaged_item,46920,rejected
RFD00000166,OI000004480,2024-06-17 21:02:47,wrong_item,313500,pending
RFD00000167,OI000004491,2025-03-28 20:19:11,late_delivery,20217900,approved
RFD00000168,OI000004506,2025-12-23 21:57:02,fake_item,100000,pending
RFD00000169,OI000004507,2025-12-28 21:57:02,damaged_item,161000,pending
RFD00000170,OI000004517,2025-11-04 15:07:39,missing_item,10034220,approved
RFD00000171,OI000004607,2024-12-05 21:04:57,missing_item,16000,pending
RFD00000172,OI000004638,2024-04-19 17:54:17,wrong_item,129600,approved
RFD00000173,OI000004640,2024-06-23 21:30:52,missing_item,224070,approved
RFD00000174,OI000004641,2024-06-16 21:30:52,missing_item,9700,approved
RFD00000175,OI000004642,2024-06-22 21:30:52,wrong_item,926000,approved
RFD00000176,OI000004747,2025-12-17 11:23:00,fake_item,2139920,rejected
RFD00000177,OI000004749,2026-01-30 06:50:12,wrong_item,1252000,approved
RFD00000178,OI000004785,2025-02-04 06:14:31,wrong_item,2966400,approved
RFD00000179,OI000004818,2024-04-04 22:48:58,fake_item,63000,approved
RFD00000180,OI000004839,2025-11-26 19:33:13,not_as_described,26680,approved
RFD00000181,OI000004889,2026-02-01 15:23:57,damaged_item,29400,approved
RFD00000182,OI000004906,2024-01-09 17:02:06,damaged_item,54750000,rejected
RFD00000183,OI000004939,2026-03-02 17:05:14,fake_item,16660,approved
RFD00000184,OI000004955,2025-03-19 12:12:15,fake_item,859750,pending
RFD00000185,OI000005020,2025-09-20 22:53:07,wrong_item,28000,approved
RFD00000186,OI000005065,2025-03-27 17:20:26,late_delivery,25760,approved
RFD00000187,OI000005133,2024-07-14 19:42:28,fake_item,332000,approved
RFD00000188,OI000005134,2024-07-13 19:42:28,missing_item,294000,approved
RFD00000189,OI000005171,2024-02-15 18:52:08,damaged_item,108800,approved
RFD00000190,OI000005172,2024-02-16 18:52:08,damaged_item,1938060,approved
RFD00000191,OI000005173,2024-02-03 18:52:08,missing_item,99960,rejected
RFD00000192,OI000005222,2025-06-29 07:56:25,late_delivery,42140,rejected
RFD00000193,OI000005223,2025-06-30 07:56:25,fake_item,141000,approved
RFD00000194,OI000005236,2025-01-01 20:20:03,not_as_described,622000,approved
RFD00000195,OI000005305,2024-04-17 07:35:45,fake_item,77400,pending
RFD00000196,OI000005306,2024-04-18 07:35:45,not_as_described,127300,approved
RFD00000197,OI000005307,2024-04-22 07:35:45,late_delivery,37000,approved
RFD00000198,OI000005325,2024-12-22 15:33:21,not_as_described,713000,approved
RFD00000199,OI000005336,2024-06-08 14:55:09,late_delivery,1907000,rejected
RFD00000200,OI000005337,2024-06-11 14:55:09,late_delivery,94050,approved
RFD00000201,OI000005406,2024-03-19 11:36:46,fake_item,2454560,approved
RFD00000202,OI000005407,2024-03-23 11:36:46,late_delivery,22310,approved
RFD00000203,OI000005450,2024-06-24 17:19:32,missing_item,17000,rejected
RFD00000204,OI000005681,2025-03-22 18:16:00,wrong_item,643860,approved
RFD00000205,OI000005682,2025-03-14 18:16:00,wrong_item,37240,approved
RFD00000206,OI000005731,2024-10-13 11:00:45,missing_item,346840,pending
RFD00000207,OI000005754,2025-12-18 21:01:13,missing_item,289600,approved
RFD00000208,OI000005755,2025-12-15 21:01:13,wrong_item,81600,approved
RFD00000209,OI000005758,2026-02-13 12:47:19,wrong_item,142500,approved
RFD00000210,OI000005759,2026-02-03 12:47:19,not_as_described,36000,pending
RFD00000211,OI000005760,2026-02-14 12:47:19,damaged_item,116000,rejected
RFD00000212,OI000005769,2025-12-24 21:14:30,wrong_item,17258400,approved
RFD00000213,OI000005797,2025-04-28 13:39:23,fake_item,214360,approved
RFD00000214,OI000005800,2026-04-09 14:36:51,damaged_item,204000,approved
RFD00000215,OI000005807,2025-03-21 10:20:59,fake_item,51000,approved
RFD00000216,OI000005825,2025-03-21 15:55:09,missing_item,30600,approved
RFD00000217,OI000005874,2024-08-30 06:03:09,late_delivery,16660,approved
RFD00000218,OI000005903,2024-01-18 15:01:43,wrong_item,149040,approved
RFD00000219,OI000005904,2024-01-18 15:01:43,fake_item,33000,rejected
RFD00000220,OI000005905,2024-01-11 15:01:43,late_delivery,55860,approved
RFD00000221,OI000005906,2024-01-04 15:01:43,fake_item,862600,approved
RFD00000222,OI000005907,2024-01-13 15:01:43,wrong_item,206000,approved
RFD00000223,OI000005908,2024-01-05 15:01:43,wrong_item,615000,approved
RFD00000224,OI000005963,2024-04-07 08:49:03,missing_item,972000,approved
RFD00000225,OI000006012,2024-03-26 08:35:42,late_delivery,154700,approved
RFD00000226,OI000006033,2026-03-02 21:00:09,wrong_item,988000,approved
RFD00000227,OI000006043,2025-11-24 12:18:17,damaged_item,1320300,approved
RFD00000228,OI000006092,2024-08-02 09:23:06,missing_item,77280,rejected
RFD00000229,OI000006093,2024-08-10 09:23:06,fake_item,2049610,approved
RFD00000230,OI000006094,2024-08-09 09:23:06,late_delivery,942000,approved
RFD00000231,OI000006095,2024-08-05 09:23:06,late_delivery,493920,approved
RFD00000232,OI000006115,2025-04-03 20:11:32,damaged_item,1001040,approved
RFD00000233,OI000006138,2024-12-24 22:33:52,not_as_described,127400,pending
RFD00000234,OI000006139,2024-12-16 22:33:52,not_as_described,216000,approved
RFD00000235,OI000006158,2025-08-20 18:54:44,missing_item,92000,approved
RFD00000236,OI000006162,2026-03-31 20:09:42,wrong_item,37830,approved
RFD00000237,OI000006202,2024-05-28 16:59:05,missing_item,35890,approved
RFD00000238,OI000006203,2024-06-09 16:59:05,wrong_item,3140880,approved
RFD00000239,OI000006204,2024-05-30 16:59:05,damaged_item,1277920,approved
RFD00000240,OI000006254,2026-05-25 16:18:40,wrong_item,9776000,approved
RFD00000241,OI000006301,2026-03-14 19:10:29,not_as_described,245650,rejected
RFD00000242,OI000006369,2025-01-30 13:51:38,missing_item,28900,rejected
RFD00000243,OI000006428,2024-02-11 09:43:57,fake_item,19000,rejected
RFD00000244,OI000006443,2025-11-03 15:47:03,not_as_described,533500,approved
RFD00000245,OI000006444,2025-04-23 19:19:53,missing_item,96900,approved
RFD00000246,OI000006445,2025-04-23 19:19:53,damaged_item,382000,approved
RFD00000247,OI000006446,2025-04-25 19:19:53,wrong_item,50000,approved
RFD00000248,OI000006460,2024-12-01 13:51:49,late_delivery,17460,approved
RFD00000249,OI000006461,2024-12-07 13:51:49,missing_item,234000,pending
RFD00000250,OI000006462,2024-12-01 13:51:49,missing_item,1220000,approved
RFD00000251,OI000006463,2024-11-27 13:51:49,fake_item,70560,approved
RFD00000252,OI000006475,2025-11-13 06:33:22,missing_item,224000,approved
RFD00000253,OI000006476,2025-11-21 06:33:22,wrong_item,16396500,approved
RFD00000254,OI000006504,2025-06-08 21:16:27,wrong_item,1838000,rejected
RFD00000255,OI000006505,2025-06-15 21:16:27,missing_item,90160,approved
RFD00000256,OI000006555,2024-05-01 17:42:28,wrong_item,49470,approved
RFD00000257,OI000006599,2026-06-11 12:25:01,fake_item,156400,rejected
RFD00000258,OI000006614,2025-09-19 09:53:38,fake_item,1001300,rejected
RFD00000259,OI000006615,2025-09-13 09:53:38,damaged_item,775200,pending
RFD00000260,OI000006686,2024-10-17 06:03:58,fake_item,230860,approved
RFD00000261,OI000006691,2024-06-24 17:34:17,damaged_item,1098480,approved
RFD00000262,OI000006719,2024-06-06 14:20:51,fake_item,270480,approved
RFD00000263,OI000006735,2026-03-23 20:55:54,not_as_described,242880,approved
RFD00000264,OI000006736,2026-03-23 20:55:54,wrong_item,25500,pending
RFD00000265,OI000006737,2026-03-25 20:55:54,wrong_item,192280,approved
RFD00000266,OI000006743,2026-05-29 17:29:09,fake_item,133000,rejected
RFD00000267,OI000006745,2025-11-18 20:26:20,missing_item,4187100,approved
RFD00000268,OI000006917,2025-02-19 19:42:12,wrong_item,9125760,rejected
RFD00000269,OI000006958,2024-12-11 14:33:56,wrong_item,96040,pending
RFD00000270,OI000006959,2026-03-26 14:10:32,missing_item,1597000,approved
RFD00000271,OI000006960,2026-04-01 14:10:32,damaged_item,85500,approved
RFD00000272,OI000007030,2025-04-09 03:51:50,late_delivery,218700,approved
RFD00000273,OI000007031,2025-04-17 03:51:50,damaged_item,542800,approved
RFD00000274,OI000007032,2025-04-19 03:51:50,damaged_item,524400,approved
RFD00000275,OI000007068,2025-10-19 18:48:37,damaged_item,2745000,approved
RFD00000276,OI000007069,2025-10-08 18:48:37,missing_item,384160,approved
RFD00000277,OI000007096,2026-03-04 11:12:09,wrong_item,10593000,approved
RFD00000278,OI000007112,2026-03-27 21:02:11,missing_item,1485900,approved
RFD00000279,OI000007113,2026-03-29 21:02:11,missing_item,138000,approved
RFD00000280,OI000007148,2026-04-01 04:56:53,damaged_item,39900,rejected
RFD00000281,OI000007193,2025-12-07 13:52:57,missing_item,1242920,approved
RFD00000282,OI000007194,2025-11-29 13:52:57,late_delivery,816960,approved
RFD00000283,OI000007195,2025-11-28 13:52:57,late_delivery,492000,approved
RFD00000284,OI000007221,2024-03-23 20:11:38,missing_item,97200,approved
RFD00000285,OI000007239,2026-05-12 18:41:52,wrong_item,323980,approved
RFD00000286,OI000007261,2026-05-30 08:49:10,damaged_item,618000,approved
RFD00000287,OI000007274,2026-03-19 19:39:24,wrong_item,1074000,approved
RFD00000288,OI000007292,2024-11-23 09:02:48,wrong_item,73600,rejected
RFD00000289,OI000007326,2024-09-19 19:26:00,damaged_item,162960,approved
RFD00000290,OI000007327,2024-09-07 19:26:00,late_delivery,45000,approved
RFD00000291,OI000007336,2025-01-18 07:19:06,damaged_item,159740,approved
RFD00000292,OI000007400,2024-03-22 11:37:51,damaged_item,776000,approved
RFD00000293,OI000007429,2026-03-19 09:40:05,missing_item,32400,approved
RFD00000294,OI000007475,2025-05-13 20:58:49,wrong_item,423000,rejected
RFD00000295,OI000007519,2026-02-15 08:05:59,fake_item,165600,approved
RFD00000296,OI000007527,2025-12-31 13:24:08,wrong_item,466480,approved
RFD00000297,OI000007528,2026-01-05 13:24:08,wrong_item,1681680,approved
RFD00000298,OI000007538,2025-02-17 15:59:59,late_delivery,155800,rejected
RFD00000299,OI000007545,2026-04-05 18:59:11,late_delivery,682080,approved
RFD00000300,OI000007546,2026-04-06 18:59:11,missing_item,649800,approved
RFD00000301,OI000007585,2024-05-31 07:04:56,missing_item,294980,approved
RFD00000302,OI000007586,2024-06-03 07:04:56,late_delivery,559000,approved
RFD00000303,OI000007600,2025-11-21 10:17:18,wrong_item,49000,approved
RFD00000304,OI000007627,2025-09-16 04:03:06,fake_item,1067000,rejected
RFD00000305,OI000007662,2025-10-21 14:43:57,missing_item,18371800,approved
RFD00000306,OI000007675,2025-12-27 12:49:34,fake_item,99360,approved
RFD00000307,OI000007678,2025-02-10 17:07:21,damaged_item,295960,approved
RFD00000308,OI000007685,2025-04-14 11:37:54,wrong_item,237150,pending
RFD00000309,OI000007690,2025-12-14 17:25:13,late_delivery,796500,rejected
RFD00000310,OI000007692,2026-06-14 21:24:46,missing_item,220000,approved
RFD00000311,OI000007700,2024-04-26 20:09:29,wrong_item,146000,approved
RFD00000312,OI000007701,2024-04-23 20:09:29,not_as_described,588790,approved
RFD00000313,OI000007702,2024-04-26 20:09:29,not_as_described,75460,approved
RFD00000314,OI000007769,2024-04-05 18:50:48,fake_item,39770,approved
RFD00000315,OI000007782,2024-02-17 12:57:13,not_as_described,95060,rejected
RFD00000316,OI000007794,2024-09-20 20:04:35,wrong_item,223440,approved
RFD00000317,OI000007795,2024-09-14 20:04:35,missing_item,117600,approved
RFD00000318,OI000007861,2026-02-18 16:55:42,wrong_item,530590,approved
RFD00000319,OI000007862,2026-02-09 16:55:42,wrong_item,148000,rejected
RFD00000320,OI000007880,2024-08-24 16:01:07,damaged_item,1318000,pending
RFD00000321,OI000007883,2024-10-15 18:07:23,late_delivery,38220,pending
RFD00000322,OI000007911,2024-12-13 18:08:50,wrong_item,100280,approved
RFD00000323,OI000007915,2026-06-13 18:23:57,not_as_described,1677000,approved
RFD00000324,OI000007916,2026-06-13 18:23:57,fake_item,92650,rejected
RFD00000325,OI000007918,2024-08-12 19:48:50,not_as_described,294000,approved
RFD00000326,OI000007919,2024-08-15 19:48:50,wrong_item,60000,pending
RFD00000327,OI000007940,2025-04-08 13:58:44,late_delivery,1088000,approved
RFD00000328,OI000007946,2026-05-16 17:20:35,wrong_item,579600,pending
RFD00000329,OI000007957,2025-11-23 22:26:19,missing_item,126650,approved
RFD00000330,OI000007973,2024-03-01 10:56:19,damaged_item,260680,approved
RFD00000331,OI000008002,2025-06-25 18:45:10,not_as_described,109610,pending
RFD00000332,OI000008003,2025-06-17 18:45:10,damaged_item,11760,approved
RFD00000333,OI000008027,2024-03-22 13:23:26,wrong_item,2228000,approved
RFD00000334,OI000008073,2026-04-05 17:17:39,not_as_described,72680,approved
RFD00000335,OI000008189,2026-05-12 18:35:19,wrong_item,53200,pending
RFD00000336,OI000008268,2025-10-09 12:07:00,damaged_item,67000,approved
RFD00000337,OI000008272,2024-07-13 20:17:51,late_delivery,371450,approved
RFD00000338,OI000008273,2024-07-04 20:17:51,damaged_item,3823000,approved
RFD00000339,OI000008304,2026-01-08 19:47:40,fake_item,34920,rejected
RFD00000340,OI000008320,2026-03-26 21:10:43,missing_item,87550,approved
RFD00000341,OI000008321,2026-03-27 21:10:43,missing_item,1553250,approved
RFD00000342,OI000008357,2025-07-17 15:57:54,damaged_item,1223600,approved
RFD00000343,OI000008364,2026-06-08 19:56:06,late_delivery,128040,approved
RFD00000344,OI000008468,2024-10-27 21:26:27,damaged_item,45000,approved
RFD00000345,OI000008469,2024-10-19 21:26:27,fake_item,230850,approved
RFD00000346,OI000008570,2024-10-01 10:48:33,missing_item,228920,approved
RFD00000347,OI000008589,2025-05-31 21:30:18,fake_item,216000,rejected
RFD00000348,OI000008600,2024-02-04 08:22:05,damaged_item,9252000,approved
RFD00000349,OI000008601,2024-02-08 08:22:05,late_delivery,185270,approved
RFD00000350,OI000008621,2024-04-09 18:58:26,not_as_described,842800,rejected
RFD00000351,OI000008645,2024-12-02 10:32:01,fake_item,92000,pending
RFD00000352,OI000008646,2024-11-26 10:32:01,wrong_item,833000,approved
RFD00000353,OI000008647,2024-12-07 10:32:01,late_delivery,478800,approved
RFD00000354,OI000008648,2025-11-15 03:11:07,not_as_described,6599400,approved
RFD00000355,OI000008649,2025-11-15 03:11:07,missing_item,18930600,approved
RFD00000356,OI000008650,2025-11-27 03:11:07,damaged_item,297000,approved
RFD00000357,OI000008651,2025-11-30 03:11:07,missing_item,270630,approved
RFD00000358,OI000008652,2025-11-25 03:11:07,late_delivery,104550,approved
RFD00000359,OI000008653,2025-11-21 03:11:07,wrong_item,230300,approved
RFD00000360,OI000008659,2025-10-26 20:48:59,late_delivery,166250,approved
RFD00000361,OI000008702,2025-07-19 18:55:54,wrong_item,226000,approved
RFD00000362,OI000008703,2025-07-22 18:55:54,damaged_item,752720,approved
RFD00000363,OI000008704,2025-07-31 18:55:54,not_as_described,927360,approved
RFD00000364,OI000008729,2025-02-21 21:33:23,damaged_item,218250,rejected
RFD00000365,OI000008730,2025-03-02 21:33:23,late_delivery,118000,approved
RFD00000366,OI000008748,2024-01-31 12:57:34,fake_item,15000,approved
